all_txs,cross_txs,variance,Cross-Shard txs Reduction Ratio
10000,9626,5.690661,-
10000,1692,2.225199,0.824226
10000,1606,2.102818,0.833160
10000,2870,1.885788,0.701849
20000,19225,17.335235,-
20000,3769,6.136991,0.803953
20000,2576,1.020652,0.866008
20000,8464,7.658202,0.559740
40000,38622,19.857102,-
40000,7868,5.744981,0.796282
40000,6919,1.445901,0.820853
40000,12474,2.899371,0.677023
80000,77409,9.774293,-
80000,19702,75.924741,0.745482
80000,14543,1.512628,0.812128
80000,29510,6.224662,0.618778
120000,116203,5.846546,-
120000,29832,21.244337,0.743277
120000,28211,2.068998,0.757227
120000,32924,4.619557,0.716668
160000,154993,53.936564,-
160000,42377,12.616377,0.726588
160000,38862,5.290910,0.749266
160000,34565,1.617367,0.776990
200000,193776,4.963525,-
200000,57079,3.048230,0.705438
200000,49754,4.446167,0.743240
200000,53539,2.929035,0.723707
